model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name,website_verified,logo_verified,verification_source
all-MiniLM-L6-v2,sentence-transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,The `all-MiniLM-L6-v2` model by sentence-transformers maps sentences and paragraphs into a 384-dimensional dense vector space for sentence similarity tasks. It is designed for applications such as text clustering and semantic search.,246135287,5407,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
ms-marco-MiniLM-L6-v2,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,The ms-marco-MiniLM-L6-v2 is a cross-encoder model built within the Sentence Transformers framework for text-ranking tasks. It is trained on the MS MARCO Passage Ranking dataset to evaluate and rank candidate passages based on their relevance to a query.,83934980,311,text-ranking,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
bge-small-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-small-en-v1.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Developed by BAAI, bge-small-en-v1.5 is an English feature-extraction model built for the sentence-transformers library. It is designed to generate vector embeddings from text for downstream natural language processing tasks.",65039030,544,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
bert-base-uncased,google-bert,https://huggingface.co/google-bert/bert-base-uncased,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Created by Google, `bert-base-uncased` is a pretrained English language model designed for fill-mask tasks using a masked language modeling objective. As an uncased model, it processes text without distinguishing between uppercase and lowercase letters to predict missing tokens within a sentence.",58556227,2869,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
electra-base-discriminator,google,https://huggingface.co/google/electra-base-discriminator,https://www.google.com/,https://www.google.com/favicon.ico,"electra-base-discriminator is a language model developed by Google specifically designed for text classification tasks, enabling it to distinguish between various categories of text with high accuracy.",56993793,158,,transformers,YES,YES,Known official domain + HTTP verification
paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Developed by sentence-transformers, paraphrase-multilingual-MiniLM-L12-v2 is a sentence similarity model that maps sentences and paragraphs into a 384-dimensional dense vector space. It is designed for tasks such as semantic search and text clustering across multiple languages.",45263676,1362,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
bge-m3,BAAI,https://huggingface.co/BAAI/bge-m3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bge-m3 is a sentence similarity model developed by BAAI utilizing the sentence-transformers library, designed to compare and quantify the semantic similarity between sentences efficiently.",36725443,3463,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
chronos-2,amazon,https://huggingface.co/amazon/chronos-2,https://www.amazon.com/,https://www.amazon.com/favicon.ico,"chronos-2 is a time-series forecasting model developed by Amazon specifically for generating accurate future predictions from sequential data, leveraging its proprietary chronos-forecasting library.",28325839,422,time-series-forecasting,chronos-forecasting,YES,YES,Known official domain + HTTP verification
all-mpnet-base-v2,sentence-transformers,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"all-mpnet-base-v2 is a sentence-transformer model designed for sentence similarity tasks, providing embeddings that can be used to compare and quantify the semantic similarity between sentences.",23780509,1350,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-0.6B,Qwen,https://huggingface.co/Qwen/Qwen3-0.6B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-0.6B is a text-generation AI model specifically designed for creating coherent and contextually appropriate text, such as answering questions, generating descriptions, or writing stories, leveraging the latest transformer technology.",22741013,1567,text-generation,transformers,YES,YES,Known official domain + HTTP verification
MiniMax-H3,Comfy-Org,https://huggingface.co/Comfy-Org/MiniMax-H3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"MiniMax-H3 is a diffusion single-file AI model designed for generating high-resolution images, utilizing Comfy-Org's pipeline, and built with a specialized library.",22661854,1666,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
t5-small,google-t5,https://huggingface.co/google-t5/t5-small,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The t5-small model is a translation AI designed for specific language tasks using the transformers library, capable of processing and translating small datasets efficiently.",22647932,597,translation,transformers,YES,YES,DuckDuckGo search + HTTP verification
xlm-roberta-base,FacebookAI,https://huggingface.co/FacebookAI/xlm-roberta-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The xlm-roberta-base model from FacebookAI is a pre-trained transformer designed for the fill-mask task, enabling it to predict masked words in text with high accuracy.",21062407,892,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
