model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name
all-MiniLM-L6-v2,sentence-transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/api/organizations/sentence-transformers/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 384 dimensional dense vector space and can be used for tasks like clustering or semantic search.,246135287,5407,sentence-similarity,sentence-transformers
ms-marco-MiniLM-L6-v2,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,https://huggingface.co/api/organizations/cross-encoder/avatar,This model was trained on the [MS Marco Passage Ranking](https://github.com/microsoft/MSMARCO-Passage-Ranking) task.,83934980,311,text-ranking,sentence-transformers
bge-small-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-small-en-v1.5,https://huggingface.co/BAAI/bge-small-en-v1.5,https://huggingface.co/api/organizations/BAAI/avatar,"<h1 align=""center"">FlagEmbedding</h1>",65039030,544,feature-extraction,sentence-transformers
bert-base-uncased,google-bert,https://huggingface.co/google-bert/bert-base-uncased,https://huggingface.co/google-bert/bert-base-uncased,https://huggingface.co/api/organizations/google-bert/avatar,Pretrained model on English language using a masked language modeling (MLM) objective. It was introduced in [this paper](https://arxiv.org/abs/1810.04805) and first released in [this repository](https://github.com/google-research/bert). This model is uncased: it does not make a difference between english and English.,58556227,2869,fill-mask,transformers
electra-base-discriminator,google,https://huggingface.co/google/electra-base-discriminator,https://huggingface.co/google/electra-base-discriminator,https://huggingface.co/api/organizations/google/avatar,"**ELECTRA** is a new method for self-supervised language representation learning. It can be used to pre-train transformer networks using relatively little compute. ELECTRA models are trained to distinguish ""real"" input tokens vs ""fake"" input tokens generated by another neural network, similar to the discriminator of a [GAN](https://arxiv.org/pdf/1406.2661.pdf). At small scale, ELECTRA achieves strong results even when trained on a single GPU. At large scale, ELECTRA achieves state-of-the-art res",56993793,158,,transformers
paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,https://huggingface.co/api/organizations/sentence-transformers/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 384 dimensional dense vector space and can be used for tasks like clustering or semantic search.,45263676,1362,sentence-similarity,sentence-transformers
bge-m3,BAAI,https://huggingface.co/BAAI/bge-m3,https://huggingface.co/BAAI/bge-m3,https://huggingface.co/api/organizations/BAAI/avatar,For more details please refer to our github repo: https://github.com/FlagOpen/FlagEmbedding,36725443,3463,sentence-similarity,sentence-transformers
chronos-2,amazon,https://huggingface.co/amazon/chronos-2,https://huggingface.co/amazon/chronos-2,https://huggingface.co/api/organizations/amazon/avatar,"**Update Jun 5, 2026:** ☁️ Deploy Chronos-2 on AWS with AutoGluon-Cloud. Real-time, serverless, or batch inference in 3 lines of code — pandas DataFrames in, forecasts out. Check out the [new deployment guide](https://auto.gluon.ai/cloud/stable/tutorials/foundation-model-timeseries.html).",28325839,422,time-series-forecasting,chronos-forecasting
all-mpnet-base-v2,sentence-transformers,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,https://huggingface.co/api/organizations/sentence-transformers/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 768 dimensional dense vector space and can be used for tasks like clustering or semantic search.,23780509,1350,sentence-similarity,sentence-transformers
Qwen3-0.6B,Qwen,https://huggingface.co/Qwen/Qwen3-0.6B,https://huggingface.co/Qwen/Qwen3-0.6B,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwen.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",22741013,1567,text-generation,transformers
MiniMax-H3,Comfy-Org,https://huggingface.co/Comfy-Org/MiniMax-H3,https://huggingface.co/Comfy-Org/MiniMax-H3,https://huggingface.co/api/organizations/Comfy-Org/avatar,Repackaged model files for ComfyUI.,22661854,1666,,diffusion-single-file
t5-small,google-t5,https://huggingface.co/google-t5/t5-small,https://huggingface.co/google-t5/t5-small,https://huggingface.co/api/organizations/google-t5/avatar,"1. [Model Details](#model-details) 2. [Uses](#uses) 3. [Bias, Risks, and Limitations](#bias-risks-and-limitations) 4. [Training Details](#training-details) 5. [Evaluation](#evaluation) 6. [Environmental Impact](#environmental-impact) 7. [Citation](#citation) 8. [Model Card Authors](#model-card-authors) 9. [How To Get Started With the Model](#how-to-get-started-with-the-model)",22647932,597,translation,transformers
xlm-roberta-base,FacebookAI,https://huggingface.co/FacebookAI/xlm-roberta-base,https://huggingface.co/FacebookAI/xlm-roberta-base,https://huggingface.co/api/organizations/FacebookAI/avatar,XLM-RoBERTa model pre-trained on 2.5TB of filtered CommonCrawl data containing 100 languages. It was introduced in the paper [Unsupervised Cross-lingual Representation Learning at Scale](https://arxiv.org/abs/1911.02116) by Conneau et al. and first released in [this repository](https://github.com/pytorch/fairseq/tree/master/examples/xlmr).,21062407,892,fill-mask,transformers
clip-vit-base-patch32,openai,https://huggingface.co/openai/clip-vit-base-patch32,https://huggingface.co/openai/clip-vit-base-patch32,https://huggingface.co/api/organizations/openai/avatar,"Disclaimer: The model card is taken and modified from the official CLIP repository, it can be found [here](https://github.com/openai/CLIP/blob/main/model-card.md).",19936700,1104,zero-shot-image-classification,transformers
bge-reranker-v2-m3,BAAI,https://huggingface.co/BAAI/bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3,https://huggingface.co/api/organizations/BAAI/avatar,**More details please refer to our Github: [FlagEmbedding](https://github.com/FlagOpen/FlagEmbedding/tree/master).**,17813651,1156,text-classification,sentence-transformers
mobilenetv3_small_100.lamb_in1k,timm,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,https://huggingface.co/api/organizations/timm/avatar,A MobileNet-v3 image classification model. Trained on ImageNet-1k in `timm` using recipe template described below.,17428712,103,image-classification,timm
nomic-embed-text-v1.5,nomic-ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,https://huggingface.co/api/organizations/nomic-ai/avatar,[Blog](https://www.nomic.ai/blog/posts/nomic-embed-text-v1) | [Technical Report](https://arxiv.org/abs/2402.01613) | [AWS SageMaker](https://aws.amazon.com/marketplace/seller-profile?id=seller-tpqidcj54zawi) | [Nomic Platform](https://atlas.nomic.ai),15943256,899,sentence-similarity,sentence-transformers
tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,https://huggingface.co/api/organizations/trl-internal-testing/avatar,This is a minimal model built for unit tests in the [TRL](https://github.com/huggingface/trl) library.,15306387,21,text-generation,transformers
